"sample","trial","median_body_x","direction"
"B1","1",0.710507529552845,1
"B1","2",0.969635722794054,0
"B1","2",0.885659858909814,1
"B1","3",0.744537908531677,0
"B1","4",0.842301107072636,0
"B1","4",1.03818449670378,1
"B1","5",0.847271245238345,0
"B1","5",1.11950561841653,1
"B1","6",1.01336602786628,0
"B1","6",0.920602033870421,1
"B2","1",1.44246605145183,1
"B2","2",1.41091013504979,0
"B2","2",2.82359066264979,1
"B2","3",1.78339072385642,0
"B2","3",3.0570097595081,1
"B2","4",1.54151280631515,0
"B2","4",1.70132666235561,1
"B2","5",1.47839078933058,0
"B2","5",1.47373235653338,1
"B2","6",1.18759217564659,0
"B3","1",1.3154656207591,1
"B3","2",1.75614125366635,0
"B3","2",1.93289231059219,1
"B3","3",1.18587014485784,0
"B3","3",1.60861726148894,1
"B3","4",1.13173702486781,0
"B3","4",1.38801280583624,1
"B3","5",1.37210433871262,0
"B3","6",1.07363091654969,0
"B3","6",1.44777785611745,1
"B4","1",1.32993062123818,1
"B4","2",1.36451461102293,0
"B4","2",1.00497514624678,1
"B4","3",1.63110768929438,0
"B4","3",1.52687988238475,1
"B4","4",1.38911670769684,0
"B4","5",1.22803590262858,0
"B4","5",1.83556859309081,1
"B4","6",1.4940287822231,0
"B4","6",1.41019139365477,1
"B5","1",1.0301979425498,1
"B5","2",1.55506192028389,0
"B5","3",1.71410906499322,0
"B5","3",1.16741193254492,1
"B5","4",1.54016609314314,0
"B5","4",1.14407106943059,1
"B5","5",1.33244484576552,0
"B5","5",1.12744534130789,1
"B5","6",1.51284205196585,0
"B5","6",1.02499588554714,1
"B6","1",1.37241341060215,1
"B6","2",1.77821231969861,0
"B6","2",0.875227769739647,1
"B6","3",1.76008426265455,0
"B6","3",1.04641673466274,1
"B6","4",1.09568495191665,0
"B6","5",1.35740193081706,0
"B6","5",1.46115319002753,1
"B6","6",1.2959630171352,0
"B6","6",1.25875186418656,1
"B7","1",1.6636094828294,1
"B7","2",1.95437267477028,0
"B7","2",1.22247421095186,1
"B7","3",1.74848700145343,0
"B7","3",1.29032436263728,1
"B7","4",1.6675665042477,0
"B7","4",1.35636424042861,1
"B7","5",1.96077786987806,0
"B7","6",1.86757484575624,0
"B7","6",1.63661354867267,1
"B8","1",1.12231412509315,1
"B8","2",1.85610586328942,0
"B8","2",1.61719429627503,1
"B8","3",1.40526229922922,0
"B8","3",1.45643606720855,1
"B8","4",1.55667798399465,0
"B8","4",1.60476030634332,1
"B8","5",1.36712787123842,0
"B8","5",1.633251927031,1
"B8","6",1.32938228021078,0
"B9","1",1.52076328902987,1
"B9","2",2.2166922492979,0
"B9","2",1.77980260803139,1
"B9","3",2.24961390425928,0
"B9","4",1.54176226088023,0
"B9","4",1.6471104150764,1
"B9","5",1.26920954632013,0
"B9","5",1.79771092549484,1
"B9","6",1.48417098804266,0
"B9","6",1.71268361699332,1
"B10","1",0.804545865255734,1
"B10","2",1.1158380355725,0
"B10","2",1.44053762041705,1
"B10","3",1.12188754556,0
"B10","3",1.82394789117264,1
"B10","4",0.6993731512867,0
